developer,Negative,Neutral,Positive
Starbreeze Studios AB,6,4,28
Stardock Entertainment,2,1,12
State of Play Games,1,0,0
Stately Snail,0,0,2
Steel Monkeys,1,2,3
Stegersaurus Software Inc.,5,9,10
"Stellar Jockeys,Gausswerks",0,0,2
StephenAllen,0,0,1
Still Running,0,0,1
Stoic,1,1,8
Stolen Couch Games,0,1,1
Stone Blade Entertainment,0,0,1
Storybird,0,1,1
Stout Games,1,0,5
Straight Right,1,1,1
Strange Fire,1,0,5
Strange Loop Games,1,0,0
Strangely Interactive Ltd,0,0,1
Strategy First,1,0,1
Streum On Studio,4,3,10
Stridemann,5,5,14
Strike Games,0,0,2
Studio Bean,1,0,1
Studio Eres,0,0,1
Studio Fizbin,0,0,3
Studio Pixel,1,0,2
Studio TeamShuriken,0,1,0
Studio Whisky Tango Inc.,0,0,1
"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",87,63,165
StudioGIW,1,0,0
Stunlock Studios,0,0,1
Stygian Software,1,0,3
Subatomic Studios LLC,1,0,1
Subset Games,37,10,99
Subsoap,0,1,6
Subvert Games,0,0,1
Sumo Digital,1,18,18
Sun-Studios,0,0,1
Sundae Month,1,0,0
Sunlight Games,2,0,0
SuperVillain Studios,2,4,5
Supergiant Games,11,17,90
Supra Games,0,0,1
Suspicious Developments,13,9,51
Svajūnas Žemaitis,0,0,1
Sven Co-op Team,4,13,12
Sweet Dog Studios,1,0,1
Swing Swing Submarine,0,0,3
Switchblade Monkeys Entertainment,3,1,1
Synergy Team,4,6,18
"Syrin Studios,Small Impact Games",2,0,1
T3 Entertainment,0,0,1
TB Games,4,1,8
TERC,0,0,4
TML Studios,2,0,0
TML-Studios,1,1,1
TNT Team,0,1,0
TORaIKI,0,0,1
"TT Fusion,Traveller's Tales,Feral Interactive (Mac)",2,1,3
TT Games,1,2,3
"TT Games Ltd,Feral Interactive (Mac)",3,1,7
"TT Games,Traveller's Tales",4,5,3
TURBOGUN,0,0,2
Talawa Games,0,0,1
Tale of Tales,0,2,0
TaleWorlds Entertainment,41,40,146
"TaleWorlds Entertainment,Flying Squirrel Entertainment",1,2,5
Tall Tail Studios,2,1,3
Tamationgames,1,1,0
Tamsoft,0,0,2
Tango Gameworks,7,1,1
Targem Games,0,1,2
Tasharen Entertainment Inc.,2,1,3
Tasty Stewdios LLC,0,0,1
Tate Multimedia,1,0,4
Team 6 Studios,4,1,0
"Team Bondi,Rockstar Leeds",5,1,10
"Team Chaos, LLC",0,0,2
Team Chivalry,1,3,5
Team Eleven Eleven,0,2,3
Team Fractal Alligator,1,4,7
Team Indev,1,0,0
Team Jolly Roger,1,0,3
Team Meat,19,18,29
Team Murder,0,0,1
"Team NINJA,KOEI TECMO GAMES CO., LTD.",1,3,3
Team Psykskallar,32,53,33
Team Reptile,3,5,14
Team17 Digital Ltd,11,13,15
Team17 Software Ltd.,0,1,0
Team6 game studios B.V.,1,0,0
Techland,26,21,88
Technetium Games,1,0,0
Technomancy Studios,1,0,3
Teeworlds Team,0,1,2
Telltale Games,129,79,337
"Tendershoot,A Jolly Corpse",0,0,1
Tennen-sozai,0,0,1
Teotl Studios,2,0,0
"Tequila Works, S.L.",4,5,11
Terri Vellmann,1,0,2
Terrible Posture Games,0,0,4
Terry Cavanagh,54,34,76
Tesseract Interactive,1,0,0
Test3 Projects,5,1,2
Teyon,0,0,1
The Astronauts,1,0,5
The Behemoth,54,81,195
The Binary Mill,1,0,0
The Chinese Room,4,4,3
The Creative Assembly,0,4,14
"The Creative Assembly,Feral Interactive (Mac)",8,5,9
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",11,10,42
The Dept of Silly Stuff,0,1,0
The Farm 51,0,2,4
The Game Bakers,1,0,1
The Game Kitchen,0,0,1
The Glitch Factory,0,0,1
The Indie Stone,13,3,27
The Men Who Wear Many Hats,1,4,9
The Molasses Flood,1,0,1
The Odd Gentlemen,0,1,6
"The Quinnspiracy,Patrick Lindsey,Isaac Schankler",8,3,7
The Sims Studio,5,2,18
The Tambourine,0,0,1
The Working Parts,0,0,2
"Thekla, Inc.",1,0,2
Thomas Bowker,9,2,7
Thomas Happ Games LLC,0,0,1
Those Awesome Guys,1,1,4
Threaks,1,0,1
Three Gates,0,1,0
Three Rings,2,0,2
Thunder Lotus Games,0,0,1
TickTock Games,1,0,2
Tiger Style,0,0,1
Tigerish Games,2,1,1
"Tilted Mill Entertainment, Inc.",1,0,0
Tim Sullivan,0,0,2
TimeGate Studios,2,0,1
TimeSymmetry,2,0,2
Tin Man Games,1,0,2
Tindalos Interactive,1,0,3
Tlön Studios,1,2,0
"Tlön Studios,Ilex Games",1,2,1
ToMorning Productions,0,0,1
"Toadman Interactive,Fatshark",0,1,0
Toge Productions,1,0,1
Tokyo RPG Factory,0,0,1
Tom De Roeck,1,0,0
Tomasz Wacławek,1,0,2
"Tomi Maarela,Elias Viglione",3,4,13
Tomoaki Sugeno,0,0,1
Tomorrow Corporation,10,7,19
Topware Interactive,0,0,1
Topware Interactive ACE,0,2,0
Torn Banner Studios,56,57,105
Totally Games,1,0,1
Touz,2,0,3
Tragnarion Studios,0,0,1
Transcendent Games,1,0,3
Transhuman Design,2,0,25
Trapdoor Inc.,1,0,0
Trashmasters,5,0,1
Trav Nash,1,1,0
Traveller's Tales,7,9,35
"Traveller's Tales,Feral Interactive (Mac)",4,0,10
"Traveller's Tales,TT Games,Feral Interactive (Mac)",3,2,0
Travian Games GmbH,0,1,1
TreeFortress Games,1,0,1
"Trek Industries, Inc",43,40,80
Trendy Entertainment,14,15,51
TrerPlay,1,0,1
Trese Brothers,0,0,1
Treyarch,87,71,200
Triangle Studios,0,0,2
Tribe Studios,3,3,1
Tribute Games Inc.,3,0,2
Trickstar Games,0,0,1
Trinoteam,1,0,0
Trion Worlds,35,41,104
"Trion Worlds, Inc.",15,11,21
"Triple-Star Studio,Rock Path Collective",0,0,1
Triple.B.Titles,0,0,1
TripleBrick,1,0,0
Tripwire Interactive,115,148,303
Triumph Studios,0,0,1
"Triumph Studios,Virtual Programming",2,3,3
Triverske,0,0,1
Troika Games,0,2,4
Tuesday Society,0,0,1
Tuomo Laine,0,0,1
Turbo Pixel Studios,0,0,3
Turbo Tape Games,0,0,1
"Turtle Cream,PokPoong Games",1,0,1
Turtle Rock Studios,36,18,46
Twice Circled,1,0,0
Twisted Pixel Games,0,0,1
Two Tribes,1,1,11
"Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild",2,0,5
U-Play Online,1,0,4
U.S. Army,3,3,15
"UBIart Montpellier,Feral Interactive (Mac)",0,0,3
Uber Entertainment,13,14,27
Ubisoft,46,12,58
Ubisoft  Shanghaï,1,0,0
Ubisoft - San Francisco,6,2,8
Ubisoft Montpellier,11,4,24
Ubisoft Montreal,67,72,148
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",23,26,78
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",8,9,23
Ubisoft Montréal,4,1,7
"Ubisoft Paris,Red Storm Entertainment",2,1,1
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",1,0,3
Ubisoft Reflections,0,0,1
Ubisoft Romania,0,0,2
Ubisoft Sofia,1,1,0
"Ubisoft Sofia,Ubisoft Kiev",0,1,5
Ubisoft Toronto,6,4,14
Ultra Runaway Games,0,0,1
Ultravision Interactive,0,0,1
Undead Labs,28,7,51
Underdog Games,0,1,1
Unfinished Pixel,1,0,2
Unicorn Games Studio,1,0,0
Unigine LLC.,0,0,1
United Front Games,1,0,1
"United Front Games,Feral Interactive (Mac)",2,2,6
United Independent Entertainment GmbH,5,2,1
"United Independent Entertainment GmbH,Actalogic",1,0,0
Unknown Worlds Entertainment,8,23,26
Unwonted Studios,0,0,1
"Upper One Games,E-Line Media",1,0,1
Uppercut Games Pty Ltd,1,0,1
Urban Games,0,0,5
VIS - Visual Imagination Software,1,0,2
VIS Interactive,1,0,0
VStep,2,0,2
Vae Victis Games,2,1,3
Vagabond Dog,1,2,4
"ValuSoft, Retroism",0,0,1
Valve,1597,2568,5417
Vanguard Games,0,0,1
"Vanguard Games,343 Industries",0,1,17
VaragtP,0,2,1
Varkian Empire,0,0,2
"Vblank Entertainment, Inc.",2,1,5
"Vectorpark, Inc.",0,0,1
Vertigo Games,1,0,0
Vertigo Gaming Inc.,3,2,7
Very Simple Idea Studios,0,0,1
Vicious Cycle Software,0,0,1
"Vicious Cycle Software, Inc.",0,0,2
Vifth Floor,0,0,1
Vigil Games,0,1,7
"Ville Mönkkönen,Anne Mönkkönen",0,0,1
Vine,0,0,3
"Virgin Interactive Entertainment,PriitK",0,0,1
"Virtual Basement LLC,Code Headquarters LLC",3,1,4
Virtual Racing Industries Ltd.,0,0,1
Visceral Games,1,2,2
Visual Concepts,9,0,7
"Visual Concepts,Yuke's",2,2,2
VisualArts/Key,0,0,7
"Viswanath Atlu,Laurie Banks,Rohan Bhukan,Nick Burnham,Avinash Kalapala,Yash Kapani,Katharine Marsh,Ankur Rathore,Hardit Singh,Anoop Nihar Srinivas,Ryan Guanyuhao Jiang,Robert Zhu",1,1,1
Vitali Kirpu,13,4,17
Vivid Games S.A.,1,0,0
Vladimir Maslov,0,0,3
Vlambeer,29,15,53
"Vlambeer,Croteam",2,0,0
Vogelsap,1,0,0
Volition,48,43,111
"Volition, Inc.",1,1,1
"Volition,Reactor Zero,THQ Nordic",4,2,10
VolumeUp Studios,0,0,1
Volumetric Games,0,0,1
Vortal Storm,2,2,7
Vostok Games,8,6,11
Voxler Games,0,0,1
WARTEAM,8,9,16
"WB Games Montreal,Splash Damage",12,17,42
WOLCEN Studio,0,0,1
WRF Studios,0,0,1
WTFOMGames,0,1,0
WZOGI,1,0,0
Wadjet Eye Games,0,1,0
Wales Interactive,0,1,0
Walter Machado,1,1,2
Wanako Games,1,0,0
Warfare Studios,0,1,0
WarfareSims,0,0,1
Warlock Wireless,0,0,1
WayForward,1,0,5
"WayForward,Abstraction Games",0,0,4
WeMade,3,1,5
Weappy Studio,1,0,2
White Rabbit Games,1,0,0
WhiteMoon Dreams,0,0,1
Wholetone Games,1,2,2
Wild Games Studio,5,2,5
Wild Shadow Studios,64,45,121
WildTangent,0,0,1
Wildgrass,0,0,1
Windybeard,0,0,1
Winter Wolves,0,0,4
"Wisdom Tree, Inc.",1,0,0
Witch Beam,0,0,3
With The Love Studios,1,0,0
Wizarbox,1,1,2
Wolfire Games,13,5,27
"World-Loom,Nitreal",0,0,1
Wube Software LTD.,11,5,20
Wyrmbyte,1,2,5
X-Bow Software,0,0,1
X-Legend,6,2,17
"X1 Software,AWAR",0,0,2
XGen Studios,1,0,0
XLGAMES,2,2,13
XYLA Entertainment,1,1,3
"Xavi Canal, Ben Palgi",2,1,2
Xaviant,2,0,6
Xtal Sword,1,2,3
YFC games,0,0,2
YFYX GAMES,0,0,1
"YOTSUBANE,Adventure Planning Service",0,1,0
Yacht Club Games,5,2,10
Yager Development,29,8,46
Yakiniku Banzai,3,0,0
YeaBoing,1,0,0
Yeti Trunk,0,0,1
Young Horses,5,6,22
Yume Creations,1,0,0
Z4G0 and Ivan Venturi Productions,0,0,1
Zachtronics,2,3,12
ZackBellGames,0,1,2
Zandel Media,0,0,1
Zanrai Interactive,1,0,0
Zaratustra Productions,0,0,3
"Zaxis Games,B-evil",2,0,0
Zbigniew Ochman,0,1,0
Zeboyd Games,1,1,4
Zeiva Inc,2,1,4
Zen Studios,0,0,2
Zenimax Online Studios,14,1,19
Zero Point Software,8,3,21
Zero Sum Games,0,0,6
Zeroscale,1,1,1
Zinertek,0,0,1
Zombie Panic Team,5,14,16
Zombie Studios,2,2,0
Zoo Corporation,1,0,1
Zootfly,1,0,1
Zoë Mode,0,1,1
"Zykov Eddy,Xitilon",0,1,1
[OneManBand],0,0,1
[geim].pro,1,0,0
app2fun,0,0,2
b-Alive,1,0,0
b-alive gmbh,0,0,2
bitHuffel,0,0,1
candyrocketstudio,1,0,0
cupholder,0,0,1
d3t,0,0,1
dobro_slon,0,1,0
doublesix,0,0,1
electrolyte,0,1,1
erobotan,0,0,1
exosyphen studios,0,0,2
"gord10,Aslan Game Studio",1,2,0
id Software,32,26,98
inXile Entertainment,1,0,7
increpare games,0,0,2
inner seas,0,1,0
isTom Games Kft.,0,3,1
kChamp Games,1,1,6
kunst-stoff GmbH,1,0,0
marbenx,8,11,8
minori,0,1,2
momoStorm Entertainment,0,0,1
nFusion Interactive,1,0,0
neko.works,0,0,1
ninjalex,0,0,3
nornware AB,0,1,0
oddonegames,1,0,1
practicing01,1,1,0
quad games,0,1,0
rdt.32,1,0,3
roseVeRte,1,0,0
souvenir circ.,0,0,1
sparsevector,7,3,6
stage-nana,1,5,10
stillalive studios,0,0,2
storm_sharks,1,0,0
tamationgames,0,1,0
the whale husband,5,5,6
tinyBuild,1,1,2
tobyfox,55,40,131
treeform,0,1,4
varlamov5264,0,1,0
vidiludi games and entertainment,0,0,1
vikingfabian.com,1,1,0
webgames,0,0,1
xXarabongXx,0,0,1
△○□× (Miwashiba),0,0,5
"インレ,Inre",1,3,1
橘子班,1,2,1
"高考恋爱委员会,橘子班",0,1,1
